,precision,recall,f1-score,support
Non_Tilapia,0.0,0.0,0.0,0.0
Tilapia,1.0,0.9666666666666667,0.9830508474576272,240.0
accuracy,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9666666666666667
macro avg,0.5,0.48333333333333334,0.4915254237288136,240.0
weighted avg,1.0,0.9666666666666667,0.9830508474576273,240.0
